in s,C1 in V,C2 in V,C4 in V
9.9280E-07,-1.738E-02,4.027E-02,9.990E-03
9.9360E-07,2.168E-02,2.074E-02,9.990E-03
9.9440E-07,1.191E-02,3.051E-02,9.990E-03
9.9520E-07,1.191E-02,2.074E-02,9.990E-03
9.9600E-07,-7.617E-03,4.027E-02,9.990E-03
9.9680E-07,-6.621E-02,2.074E-02,9.990E-03
9.9760E-07,-1.738E-02,1.098E-02,9.990E-03
9.9840E-07,1.191E-02,1.211E-03,9.990E-03
9.9920E-07,-1.738E-02,2.074E-02,9.990E-03
1.0000E-06,-3.691E-02,2.074E-02,9.990E-03
1.0008E-06,-2.715E-02,3.051E-02,9.990E-03
1.0016E-06,-2.715E-02,4.027E-02,9.990E-03
1.0024E-06,-4.668E-02,3.051E-02,9.990E-03
1.0032E-06,-2.715E-02,5.004E-02,9.990E-03
1.0040E-06,-7.617E-03,1.211E-03,9.990E-03
1.0048E-06,2.148E-03,1.211E-03,9.990E-03
1.0056E-06,-5.645E-02,2.074E-02,9.990E-03
1.0064E-06,-3.691E-02,3.051E-02,9.990E-03
1.0072E-06,-2.715E-02,1.098E-02,9.990E-03
1.0080E-06,-2.715E-02,5.004E-02,9.990E-03
1.0088E-06,-7.617E-03,3.051E-02,9.990E-03
1.0096E-06,-3.691E-02,4.027E-02,9.990E-03
1.0104E-06,-2.715E-02,2.074E-02,9.990E-03
1.0112E-06,-2.715E-02,3.051E-02,9.990E-03
1.0120E-06,-2.715E-02,1.098E-02,9.990E-03
1.0128E-06,-1.738E-02,5.980E-02,9.990E-03
1.0136E-06,-7.617E-03,1.211E-03,9.990E-03
1.0144E-06,-1.738E-02,2.074E-02,9.990E-03
1.0152E-06,-1.738E-02,3.051E-02,9.990E-03
1.0160E-06,-1.738E-02,3.051E-02,9.990E-03
1.0168E-06,-1.738E-02,4.027E-02,9.990E-03
1.0176E-06,2.148E-03,3.051E-02,9.990E-03
1.0184E-06,-1.738E-02,1.098E-02,9.990E-03
1.0192E-06,1.191E-02,2.074E-02,9.990E-03
1.0200E-06,2.148E-03,2.074E-02,9.990E-03
1.0208E-06,-2.715E-02,1.098E-02,9.990E-03
1.0216E-06,-7.617E-03,1.211E-03,9.990E-03
1.0224E-06,-1.738E-02,2.074E-02,9.990E-03
1.0232E-06,-1.738E-02,3.051E-02,9.990E-03
1.0240E-06,2.148E-03,2.074E-02,9.990E-03
1.0248E-06,-3.691E-02,2.074E-02,9.990E-03
1.0256E-06,-1.738E-02,4.027E-02,9.990E-03
1.0264E-06,1.191E-02,1.098E-02,9.990E-03
1.0272E-06,-2.715E-02,1.098E-02,9.990E-03
1.0280E-06,-1.738E-02,4.027E-02,9.990E-03
1.0288E-06,2.148E-03,1.098E-02,9.990E-03
1.0296E-06,2.148E-03,1.098E-02,9.990E-03
1.0304E-06,-1.738E-02,1.098E-02,9.990E-03
1.0312E-06,-3.691E-02,1.098E-02,9.990E-03
1.0320E-06,2.168E-02,1.098E-02,9.990E-03
1.0328E-06,-1.738E-02,1.098E-02,9.990E-03
1.0336E-06,1.191E-02,2.074E-02,9.990E-03
1.0344E-06,-1.738E-02,2.074E-02,9.990E-03
1.0352E-06,-1.738E-02,1.098E-02,9.990E-03
1.0360E-06,-7.617E-03,1.098E-02,9.990E-03
1.0368E-06,2.148E-03,1.211E-03,9.990E-03
1.0376E-06,-2.715E-02,-8.555E-03,9.990E-03
1.0384E-06,-7.617E-03,2.074E-02,9.990E-03
1.0392E-06,-7.617E-03,-1.832E-02,9.990E-03
1.0400E-06,2.168E-02,4.027E-02,9.990E-03
1.0408E-06,-7.617E-03,2.074E-02,9.990E-03
1.0416E-06,-1.738E-02,2.074E-02,9.990E-03
1.0424E-06,-1.738E-02,5.004E-02,9.990E-03
1.0432E-06,-1.738E-02,4.027E-02,9.990E-03
1.0440E-06,-1.738E-02,1.211E-03,9.990E-03
1.0448E-06,-1.738E-02,1.098E-02,9.990E-03
1.0456E-06,-7.617E-03,-1.832E-02,9.990E-03
1.0464E-06,-1.738E-02,1.098E-02,9.990E-03
1.0472E-06,-2.715E-02,2.074E-02,9.990E-03
1.0480E-06,2.148E-03,1.098E-02,9.990E-03
1.0488E-06,-7.617E-03,2.074E-02,9.990E-03
1.0496E-06,-7.617E-03,-8.555E-03,9.990E-03
1.0504E-06,-1.738E-02,1.211E-03,9.990E-03
1.0512E-06,-7.617E-03,1.098E-02,9.990E-03
1.0520E-06,2.168E-02,2.074E-02,9.990E-03
1.0528E-06,-1.738E-02,2.074E-02,9.990E-03
1.0536E-06,2.148E-03,1.098E-02,9.990E-03
1.0544E-06,-5.645E-02,1.211E-03,9.990E-03
1.0552E-06,-4.668E-02,4.027E-02,9.990E-03
1.0560E-06,-3.691E-02,3.051E-02,9.990E-03
1.0568E-06,-3.691E-02,3.051E-02,9.990E-03
1.0576E-06,-7.617E-03,2.074E-02,9.990E-03
1.0584E-06,-2.715E-02,-8.555E-03,9.990E-03
1.0592E-06,-2.715E-02,1.211E-03,9.990E-03
1.0600E-06,-7.617E-03,4.027E-02,9.990E-03
1.0608E-06,-5.645E-02,5.004E-02,9.990E-03
1.0616E-06,1.191E-02,4.027E-02,9.990E-03
1.0624E-06,1.191E-02,4.027E-02,9.990E-03
1.0632E-06,-1.738E-02,1.098E-02,9.990E-03
1.0640E-06,-1.738E-02,2.074E-02,9.990E-03
1.0648E-06,-1.738E-02,1.098E-02,9.990E-03
1.0656E-06,-7.617E-03,2.074E-02,9.990E-03
1.0664E-06,-2.715E-02,4.027E-02,9.990E-03
1.0672E-06,-3.691E-02,5.004E-02,9.990E-03
1.0680E-06,-1.738E-02,2.074E-02,9.990E-03
1.0688E-06,-1.738E-02,1.098E-02,9.990E-03
1.0696E-06,-1.738E-02,-8.555E-03,9.990E-03
1.0704E-06,-1.738E-02,2.074E-02,9.990E-03
1.0712E-06,-2.715E-02,3.051E-02,9.990E-03
1.0720E-06,2.148E-03,1.211E-03,9.990E-03
1.0728E-06,2.168E-02,2.074E-02,9.990E-03
1.0736E-06,1.191E-02,3.051E-02,9.990E-03
1.0744E-06,2.148E-03,2.074E-02,9.990E-03
1.0752E-06,-7.617E-03,2.074E-02,9.990E-03
1.0760E-06,-1.738E-02,1.098E-02,9.990E-03
1.0768E-06,-1.738E-02,2.074E-02,9.990E-03
1.0776E-06,-7.617E-03,3.051E-02,9.990E-03
1.0784E-06,-2.715E-02,2.074E-02,9.990E-03
1.0792E-06,2.148E-03,4.027E-02,9.990E-03
1.0800E-06,-1.738E-02,3.051E-02,9.990E-03
1.0808E-06,2.148E-03,5.004E-02,9.990E-03
1.0816E-06,2.168E-02,-8.555E-03,9.990E-03
1.0824E-06,-2.715E-02,5.980E-02,9.990E-03
1.0832E-06,2.168E-02,1.098E-02,9.990E-03
1.0840E-06,-3.691E-02,-1.832E-02,9.990E-03
1.0848E-06,-2.715E-02,1.211E-03,9.990E-03
1.0856E-06,2.148E-03,2.074E-02,9.990E-03
1.0864E-06,-5.645E-02,1.098E-02,9.990E-03
1.0872E-06,2.148E-03,1.098E-02,9.990E-03
1.0880E-06,-1.738E-02,2.074E-02,9.990E-03
1.0888E-06,-7.617E-03,-8.555E-03,9.990E-03
1.0896E-06,1.191E-02,1.211E-03,9.990E-03
1.0904E-06,1.191E-02,-8.555E-03,9.990E-03
1.0912E-06,1.191E-02,4.027E-02,9.990E-03
1.0920E-06,-1.738E-02,2.074E-02,9.990E-03
1.0928E-06,-1.738E-02,3.051E-02,9.990E-03
1.0936E-06,1.191E-02,4.027E-02,9.990E-03
1.0944E-06,1.191E-02,2.074E-02,9.990E-03
1.0952E-06,-1.738E-02,3.051E-02,9.990E-03
1.0960E-06,1.191E-02,2.074E-02,9.990E-03
1.0968E-06,2.148E-03,2.074E-02,9.990E-03
1.0976E-06,-3.691E-02,5.004E-02,9.990E-03
1.0984E-06,-7.617E-03,2.074E-02,9.990E-03
1.0992E-06,-2.715E-02,1.211E-03,9.990E-03
1.1000E-06,-3.691E-02,-1.832E-02,9.990E-03
1.1008E-06,-7.617E-03,2.074E-02,9.990E-03
1.1016E-06,-1.738E-02,5.004E-02,9.990E-03
1.1024E-06,-7.617E-03,3.051E-02,9.990E-03
1.1032E-06,1.191E-02,2.074E-02,9.990E-03
1.1040E-06,-7.617E-03,2.074E-02,9.990E-03
1.1048E-06,2.148E-03,2.074E-02,9.990E-03
1.1056E-06,1.191E-02,-8.555E-03,9.990E-03
1.1064E-06,-1.738E-02,1.098E-02,9.990E-03
1.1072E-06,2.148E-03,-8.555E-03,9.990E-03
1.1080E-06,-3.691E-02,-8.555E-03,9.990E-03
1.1088E-06,-2.715E-02,2.074E-02,9.990E-03
1.1096E-06,1.191E-02,1.211E-03,9.990E-03
1.1104E-06,-7.617E-03,3.051E-02,9.990E-03
1.1112E-06,-7.617E-03,3.051E-02,9.990E-03
1.1120E-06,-3.691E-02,4.027E-02,9.990E-03
1.1128E-06,-7.617E-03,1.098E-02,9.990E-03
1.1136E-06,-3.691E-02,1.098E-02,9.990E-03
1.1144E-06,-1.738E-02,3.051E-02,9.990E-03
1.1152E-06,-1.738E-02,1.098E-02,9.990E-03
1.1160E-06,-4.668E-02,-8.555E-03,9.990E-03
1.1168E-06,-1.738E-02,1.098E-02,9.990E-03
1.1176E-06,-1.738E-02,1.098E-02,9.990E-03
1.1184E-06,-4.668E-02,-8.555E-03,9.990E-03
1.1192E-06,1.191E-02,2.074E-02,9.990E-03
1.1200E-06,-1.738E-02,2.074E-02,9.990E-03
1.1208E-06,-1.738E-02,3.051E-02,9.990E-03
1.1216E-06,-1.738E-02,2.074E-02,9.990E-03
1.1224E-06,-1.738E-02,1.098E-02,9.990E-03
1.1232E-06,-1.738E-02,2.074E-02,9.990E-03
1.1240E-06,2.148E-03,2.074E-02,9.990E-03
1.1248E-06,-1.738E-02,4.027E-02,9.990E-03
1.1256E-06,-1.738E-02,1.098E-02,9.990E-03
1.1264E-06,-3.691E-02,5.004E-02,9.990E-03
1.1272E-06,-7.617E-03,2.074E-02,9.990E-03
1.1280E-06,-7.617E-03,4.027E-02,9.990E-03
1.1288E-06,2.148E-03,1.098E-02,9.990E-03
1.1296E-06,2.148E-03,2.074E-02,9.990E-03
1.1304E-06,-7.617E-03,5.004E-02,9.990E-03
1.1312E-06,-2.715E-02,2.074E-02,9.990E-03
1.1320E-06,-1.738E-02,4.027E-02,9.990E-03
1.1328E-06,-7.617E-03,2.074E-02,9.990E-03
1.1336E-06,-5.645E-02,1.098E-02,9.990E-03
1.1344E-06,-7.617E-03,5.004E-02,9.990E-03
1.1352E-06,1.191E-02,-1.832E-02,9.990E-03
1.1360E-06,3.145E-02,4.027E-02,9.990E-03
1.1368E-06,2.148E-03,3.051E-02,9.990E-03
1.1376E-06,-5.645E-02,3.051E-02,9.990E-03
1.1384E-06,-2.715E-02,4.027E-02,9.990E-03
1.1392E-06,-1.738E-02,2.074E-02,9.990E-03
1.1400E-06,-1.738E-02,2.074E-02,9.990E-03
1.1408E-06,2.148E-03,1.211E-03,9.990E-03
1.1416E-06,1.191E-02,-8.555E-03,9.990E-03
1.1424E-06,1.191E-02,-8.555E-03,9.990E-03
1.1432E-06,-2.715E-02,2.074E-02,9.990E-03
1.1440E-06,-2.715E-02,1.098E-02,9.990E-03
1.1448E-06,2.148E-03,1.098E-02,9.990E-03
1.1456E-06,-1.738E-02,5.004E-02,9.990E-03
1.1464E-06,1.191E-02,3.051E-02,9.990E-03
1.1472E-06,-1.738E-02,3.051E-02,9.990E-03
1.1480E-06,2.148E-03,1.211E-03,9.990E-03
1.1488E-06,3.145E-02,3.051E-02,9.990E-03
1.1496E-06,2.148E-03,-8.555E-03,9.990E-03
1.1504E-06,-2.715E-02,2.074E-02,9.990E-03
1.1512E-06,-1.738E-02,2.074E-02,9.990E-03
1.1520E-06,-3.691E-02,-8.555E-03,9.990E-03
1.1528E-06,-1.738E-02,-1.832E-02,9.990E-03
1.1536E-06,-1.738E-02,2.074E-02,9.990E-03
1.1544E-06,2.148E-03,2.074E-02,9.990E-03
1.1552E-06,-7.617E-03,1.211E-03,9.990E-03
1.1560E-06,2.148E-03,1.211E-03,9.990E-03
1.1568E-06,2.148E-03,1.098E-02,9.990E-03
1.1576E-06,-7.617E-03,1.211E-03,9.990E-03
1.1584E-06,-7.617E-03,3.051E-02,9.990E-03
1.1592E-06,-1.738E-02,2.074E-02,9.990E-03
1.1600E-06,-1.738E-02,2.074E-02,9.990E-03
1.1608E-06,1.191E-02,1.098E-02,9.990E-03
1.1616E-06,-3.691E-02,2.074E-02,9.990E-03
1.1624E-06,2.148E-03,4.027E-02,9.990E-03
1.1632E-06,-4.668E-02,3.051E-02,9.990E-03
1.1640E-06,2.148E-03,4.027E-02,9.990E-03
1.1648E-06,-7.617E-03,2.074E-02,9.990E-03
1.1656E-06,-3.691E-02,3.051E-02,9.990E-03
1.1664E-06,1.191E-02,3.051E-02,9.990E-03
1.1672E-06,2.148E-03,2.074E-02,9.990E-03
1.1680E-06,2.168E-02,1.098E-02,9.990E-03
1.1688E-06,1.191E-02,4.027E-02,9.990E-03
1.1696E-06,-1.738E-02,-8.555E-03,9.990E-03
1.1704E-06,-7.617E-03,2.074E-02,9.990E-03
1.1712E-06,2.148E-03,1.098E-02,9.990E-03
1.1720E-06,-1.738E-02,2.074E-02,9.990E-03
1.1728E-06,-1.738E-02,5.004E-02,9.990E-03
1.1736E-06,-7.617E-03,-8.555E-03,9.990E-03
1.1744E-06,-3.691E-02,-8.555E-03,9.990E-03
1.1752E-06,2.168E-02,1.098E-02,9.990E-03
1.1760E-06,-4.668E-02,1.211E-03,9.990E-03
1.1768E-06,-1.738E-02,-1.832E-02,9.990E-03
1.1776E-06,2.168E-02,2.074E-02,9.990E-03
1.1784E-06,-1.738E-02,-8.555E-03,9.990E-03
1.1792E-06,1.191E-02,2.074E-02,9.990E-03
1.1800E-06,-2.715E-02,3.051E-02,9.990E-03
1.1808E-06,-1.738E-02,1.098E-02,9.990E-03
1.1816E-06,-2.715E-02,1.098E-02,9.990E-03
1.1824E-06,-3.691E-02,2.074E-02,9.990E-03
1.1832E-06,2.168E-02,1.098E-02,9.990E-03
1.1840E-06,-7.617E-03,4.027E-02,9.990E-03
1.1848E-06,-1.738E-02,-8.555E-03,9.990E-03
1.1856E-06,1.191E-02,2.074E-02,9.990E-03
1.1864E-06,2.168E-02,2.074E-02,9.990E-03
1.1872E-06,-2.715E-02,1.098E-02,9.990E-03
1.1880E-06,-7.617E-03,4.027E-02,9.990E-03
1.1888E-06,-3.691E-02,1.098E-02,9.990E-03
1.1896E-06,-1.738E-02,1.098E-02,9.990E-03
1.1904E-06,-7.617E-03,1.211E-03,9.990E-03
1.1912E-06,-2.715E-02,-1.832E-02,9.990E-03
1.1920E-06,2.168E-02,5.004E-02,9.990E-03
1.1928E-06,-7.617E-03,1.211E-03,9.990E-03
1.1936E-06,-7.617E-03,1.211E-03,9.990E-03
1.1944E-06,-7.617E-03,2.074E-02,9.990E-03
1.1952E-06,-2.715E-02,2.074E-02,9.990E-03
1.1960E-06,-1.738E-02,5.004E-02,9.990E-03
1.1968E-06,-1.738E-02,1.098E-02,9.990E-03
1.1976E-06,-1.738E-02,2.074E-02,9.990E-03
1.1984E-06,2.148E-03,2.074E-02,9.990E-03
1.1992E-06,2.148E-03,1.098E-02,9.990E-03
1.2000E-06,2.148E-03,1.098E-02,9.990E-03
1.2008E-06,-7.617E-03,2.074E-02,9.990E-03
1.2016E-06,-1.738E-02,1.098E-02,9.990E-03
1.2024E-06,-1.738E-02,1.098E-02,9.990E-03
1.2032E-06,1.191E-02,1.098E-02,9.990E-03
1.2040E-06,-1.738E-02,1.098E-02,9.990E-03
1.2048E-06,-1.738E-02,2.074E-02,9.990E-03
1.2056E-06,1.191E-02,-1.832E-02,9.990E-03
1.2064E-06,1.191E-02,1.098E-02,9.990E-03
1.2072E-06,-7.617E-03,4.027E-02,9.990E-03
